,Id,Status,Uptime,Country,Location,Ships,Distinct,Contributor
0,2766,,0 %,  Angola,Zaire,0,0,
1,3061,,100 %,  Argentina,Buenos Aires,43,43,
2,2675,,100 %,  Australia,Sydney,12,12,
3,3292,,100 %,  Australia,"Oakleigh, Victoria",3,3,SARCNET
4,2701,,96 %,  Australia,O'Connor,69,69,
5,2360,,100 %,  Australia,Port Hedland,134,133,
6,2995,,100 %,  Australia,Kingston,10,6,
7,2556,,100 %,  Australia,Franklin,9,7,
8,2999,,100 %,  Australia,Mount Hicks,5,4,
9,2864,,0 %,  Australia,Morayfield,0,0,
10,2739,,100 %,  Australia,Townsville,49,47,
11,2801,,0 %,  Australia,Glenorcky,0,0,
12,2070,,100 %,  Australia,"Nelson Bay, NSW",35,35,
13,2288,,99 %,  Australia,Johanna,5,5,
14,2936,,99 %,  Australia,Kettering,31,26,
15,2637,,72 %,  Australia,Devonport,9,7,
16,2502,,100 %,  Australia,Scarborough,40,40,
17,2465,,0 %,  Australia,Darwin,0,0,
18,2234,,96 %,  Australia,Mt Arthur (N.Tasmania),6,4,
19,3175,,100 %,  Austria,Vienna,9,3,
20,2520,,100 %,  Austria,Vienna,16,8,
21,2798,,100 %,  Austria,Linz,23,23,
22,2984,,90 %,  Azerbaijan,Baku,62,62,
23,2445,,0 %,  Bahamas,Freeport,0,0,
24,2127,,100 %,  Belgium,Izegem,175,0,
25,2723,,0 %,  Belgium,Antwerp Harbour 2,0,0,www.vemasys.com
26,2709,,0 %,  Belgium,"Watervliet, St Laureins",0,0,
27,3215,,77 %,  Belgium,Antwerp,0,0,
28,2061,,100 %,  Belgium,Ostend,53,0,
29,3359,,34 %,  Belgium,Schoten,3,1,
30,3075,,100 %,  Belgium,Aalst,1,1,
31,2276,,100 %,  Belgium,Schilde,261,1,
32,3459,,100 %,  Belgium,Oostende,141,5,Flanders Marine Institute
33,3152,,100 %,  Belgium,Zeebrugge,198,56,Citymesh
34,2546,,100 %,  Belgium,Merchtem,30,2,
35,2300,,100 %,  Belgium,Antwerp Harbour 1,397,5,www.vemasys.com
36,2145,,100 %,  Belgium,Antwerp2,541,112,Tresco Engineering
37,2404,,100 %,  Belgium,Bruges,149,13,dotOcean
38,3249,,100 %,  Belgium,Antwerp,103,1,
39,2292,,100 %,  Belgium,Gent,405,239,
40,2981,,100 %,  Belgium,Oostende,105,0,
41,3483,,64 %,  Belgium,WIjnegem,0,0,
42,2850,,100 %,  Brazil,Fortaleza,10,10,German Aerospace Center (DLR)
43,3489,,100 %,  Brazil,Maceio,4,4,
44,2929,,0 %,  Brazil,Curitiba,0,0,
45,2517,,100 %,  Brazil,Belem,176,62,
46,2576,,0 %,  Bulgaria,Varna,0,0,
47,3019,,0 %,  Bulgaria,Varna,0,0,
48,2512,,100 %,  Canada,Quadra Island,63,61,
49,2218,,100 %,  Canada,"Newfoundland, St. Johns",17,17,
50,2017,,100 %,  Canada,Corner Brook,21,21,
51,2267,,100 %,  Canada,Dartmouth,20,1,
52,2463,,100 %,  Canada,Prince Rupert,47,5,
53,2512,,100 %,  Canada,Quadra Island,63,61,
54,2796,,100 %,  Canada,Victoria,54,2,
55,3083,,100 %,  Canada,New Westminster,38,9,
56,2025,,100 %,  Canada,"Windsor, Ontario",10,6,
57,2218,,100 %,  Canada,"Newfoundland, St. Johns",17,17,
58,2372,,100 %,  Canada,Vancouver,130,38,
59,2042,,100 %,  Canada,Vancouver,138,18,
60,2955,,100 %,  Canada,Bowen Island,180,26,
61,3185,,100 %,  Canada,Halifax,42,23,
62,2019,,100 %,  Canada,"Victoria, BC",48,1,
63,3201,,100 %,  Canada,Sorel-Tracy,17,0,
64,2818,,100 %,  Canada,Montreal,25,8,
65,2253,,98 %,  Canada,Montreal,3,1,
66,2215,,100 %,  Canada,Burnaby,17,1,
67,3145,,94 %,  Canada,Vancouver,276,134,
68,2848,,100 %,  Canada,Victoria,61,0,
69,2821,,100 %,  Canada,Burnaby,32,0,
70,2202,,100 %,  Canada,Ucluelet,27,22,
71,2853,,100 %,  Canada,Vancouver,11,1,
72,3238,,100 %,  Canada,East Point Saturna Island,33,9,
73,2920,,75 %,  Canada,Burnaby,27,1,
74,2593,,100 %,  Canada,Prince Rupert,65,23,
